,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
222,Gordon Hayward,33,2TM,SF,51,28,1245,.464,12.1,.777,.236,.238,.176,.127,.223,.479,.674,.406,.451,.294,.411,.607,.946,.052,19,.311,.429,0,0,,haywago01
222,Gordon Hayward,33,CHO,SF,25,25,798,.468,12.3,.795,.209,.249,.202,.135,.205,.496,.742,.432,.467,.275,.361,.556,.955,.051,14,.279,.412,0,0,,haywago01
222,Gordon Hayward,33,OKC,SF,26,3,447,.453,11.9,.726,.311,.208,.104,.104,.274,.429,.545,.318,.364,.364,.517,.788,.933,.057,5,.379,.455,0,0,,haywago01
223,GG Jackson II,19,MEM,PF,48,18,1233,.428,15.7,.492,.263,.149,.039,.041,.508,.502,.676,.333,.227,.261,.357,.576,.863,.076,38,.224,.484,1,0,,jacksgg01
224,Aaron Wiggins,25,OKC,SG,78,4,1228,.562,10.7,.666,.422,.186,.040,.019,.334,.598,.698,.457,.467,.000,.492,.667,.968,.042,12,.413,.404,0,0,,wiggiaa01
225,Larry Nance Jr.,31,NOP,C,61,0,1216,.573,9.8,.730,.411,.245,.062,.012,.270,.631,.727,.525,.400,.667,.415,.766,.963,.220,46,.585,.421,3,0,,nancela02
226,Duop Reath,27,POR,C,68,20,1214,.461,14.5,.509,.263,.218,.022,.006,.491,.559,.687,.413,.545,.333,.359,.697,.989,.052,23,.180,.455,0,0,,reathdu01
227,Alec Burks,32,2TM,SG,66,1,1212,.369,18.2,.420,.086,.132,.125,.077,.580,.360,.469,.307,.380,.295,.376,.500,.782,.000,0,.282,.366,0,0,,burksal01
227,Alec Burks,32,DET,SG,43,0,901,.394,19.2,.392,.069,.135,.101,.086,.608,.384,.536,.273,.463,.343,.401,.541,.788,.000,0,.279,.391,0,0,,burksal01
227,Alec Burks,32,NYK,SG,23,1,311,.307,17.1,.491,.129,.123,.184,.055,.509,.313,.381,.400,.267,.111,.301,.400,.760,.000,0,.289,.292,0,0,,burksal01
228,Kevon Looney,27,GSW,C,74,36,1195,.597,4.2,.996,.485,.421,.060,.030,.004,.599,.681,.541,.429,.429,.000,.676,,.120,24,.000,,1,0,,looneke01
229,David Roddy,22,2TM,PF,65,13,1177,.403,12.2,.599,.291,.247,.049,.012,.401,.478,.639,.356,.250,.000,.293,.598,.979,.042,12,.311,.373,1,0,,roddyda01
229,David Roddy,22,MEM,PF,48,13,1114,.402,12.8,.596,.288,.249,.047,.013,.404,.470,.622,.354,.278,.000,.301,.593,.979,.044,12,.301,.383,1,0,,roddyda01
229,David Roddy,22,PHO,PF,17,0,63,.435,11.5,.652,.348,.217,.087,.000,.348,.600,.875,.400,.000,,.125,.667,1.000,.000,0,.500,.250,0,0,,roddyda01
230,Vasilije Micić,30,2TM,PG,60,21,1176,.430,15.1,.584,.276,.146,.086,.076,.416,.537,.706,.296,.469,.464,.279,.353,.605,.003,1,.084,.154,0,0,,micicva01
230,Vasilije Micić,30,OKC,PG,30,0,361,.407,16.1,.505,.198,.176,.066,.066,.495,.565,.944,.250,.500,.333,.244,.577,.818,.011,1,.133,.000,0,0,,micicva01
230,Vasilije Micić,30,CHO,PG,30,21,815,.437,14.2,.609,.301,.136,.093,.079,.391,.529,.655,.316,.462,.500,.294,.289,.531,.000,0,.064,.286,0,0,,micicva01
231,Patrick Williams,22,CHI,PF,43,30,1174,.443,14.6,.588,.267,.128,.092,.100,.412,.474,.573,.326,.485,.389,.399,.550,.966,.109,29,.304,.422,0,0,,willipa01
232,John Konchar,27,MEM,SF,55,23,1173,.423,15.1,.423,.322,.091,.010,.000,.577,.568,.657,.316,.000,,.317,.680,1.000,.014,3,.492,.271,0,0,,konchjo01
233,Drew Eubanks,26,PHO,C,75,6,1169,.601,4.3,.988,.506,.403,.055,.024,.012,.596,.742,.490,.286,.000,1.000,.805,1.000,.336,66,1.000,1.000,0,0,,eubandr01
234,Joe Ingles,36,ORL,SF,68,0,1169,.436,19.9,.291,.079,.198,.009,.004,.709,.439,.778,.311,.000,1.000,.435,.448,.929,.000,0,.199,.469,2,0,,inglejo01
235,Anthony Black,20,ORL,PG,69,33,1164,.466,13.0,.619,.308,.162,.085,.065,.381,.510,.684,.400,.286,.250,.394,.731,.919,.109,25,.500,.404,0,0,,blackan01
236,Jordan Hawkins,21,NOP,SG,67,10,1160,.382,20.3,.346,.083,.081,.075,.107,.654,.411,.526,.351,.353,.408,.366,.738,.991,.024,7,.245,.466,2,0,,hawkijo01
237,Trey Lyles,28,SAC,PF,58,0,1158,.445,18.8,.318,.178,.100,.022,.019,.682,.578,.754,.375,.571,.000,.384,.729,1.000,.025,6,.384,.369,3,0,,lylestr01
238,Moses Moody,21,GSW,SG,66,9,1156,.462,15.2,.524,.179,.240,.064,.040,.476,.555,.733,.475,.481,.353,.360,.582,.903,.050,17,.270,.315,0,0,,moodymo01
239,Jae Crowder,33,MIL,PF,50,25,1156,.422,18.6,.385,.104,.148,.059,.074,.615,.538,.714,.475,.500,.450,.349,.893,.966,.000,0,.452,.400,1,0,,crowdja01
240,Trayce Jackson-Davis,23,GSW,PF,68,16,1130,.702,2.5,.997,.648,.343,.006,.000,.003,.704,.777,.561,1.000,,.000,.751,,.373,112,.000,,0,0,,jackstr02
241,Malcolm Brogdon,31,POR,PG,39,25,1121,.440,15.4,.599,.206,.157,.117,.119,.401,.458,.608,.385,.431,.322,.412,.257,.756,.002,0,.121,.500,0,0,,brogdma01
242,Dean Wade,27,CLE,PF,54,32,1108,.414,22.6,.129,.073,.013,.017,.026,.871,.567,.765,.000,.500,.333,.391,.647,.987,.030,6,.351,.408,0,0,,wadede01
243,Josh Richardson,30,MIA,SG,43,6,1103,.444,17.9,.452,.118,.159,.101,.075,.548,.561,.683,.582,.457,.462,.347,.511,.970,.023,7,.226,.395,1,0,,richajo01
244,Davion Mitchell,25,SAC,PG,72,4,1101,.452,16.2,.511,.155,.192,.090,.074,.489,.539,.760,.500,.310,.458,.361,.472,.965,.000,0,.291,.457,0,0,,mitchda01
245,Dario Šarić,29,GSW,C,64,9,1098,.466,16.1,.492,.152,.263,.041,.036,.508,.560,.797,.480,.375,.357,.376,.654,1.000,.003,1,.117,.261,0,0,,saricda01
246,James Wiseman,22,DET,C,63,6,1091,.613,4.8,.993,.446,.433,.079,.036,.007,.617,.787,.515,.375,.273,.000,.706,,.282,81,.000,,1,0,,wisemja01
247,Dante Exum,28,DAL,PG,55,17,1088,.533,11.9,.642,.328,.238,.053,.023,.358,.557,.697,.375,.688,.143,.491,.528,.981,.056,14,.426,.457,2,0,,exumda01
248,Sam Merrill,27,CLE,SG,61,1,1069,.402,23.6,.099,.041,.038,.015,.005,.901,.385,.500,.467,.000,.000,.404,.800,.965,.000,0,.195,.449,1,0,,merrisa01
249,Dennis Smith Jr.,26,BRK,PG,56,2,1059,.435,11.5,.678,.370,.198,.044,.065,.322,.502,.672,.299,.267,.318,.294,.426,.875,.083,25,.349,.342,1,0,,smithde03
250,Shaedon Sharpe,20,POR,SG,32,25,1059,.406,14.9,.585,.235,.168,.099,.083,.415,.457,.569,.370,.372,.417,.333,.466,.717,.071,26,.156,.393,3,0,,sharpsh01
251,Jordan Goodwin,25,2TM,PG,57,12,1055,.369,14.0,.631,.215,.204,.136,.076,.369,.411,.561,.308,.365,.345,.298,.293,.857,.008,1,.248,.343,0,0,,goodwjo01
251,Jordan Goodwin,25,PHO,PG,40,0,558,.389,14.8,.585,.212,.192,.119,.062,.415,.460,.659,.351,.348,.333,.288,.365,.913,.005,0,.250,.350,0,0,,goodwjo01
251,Jordan Goodwin,25,MEM,PG,17,12,497,.349,13.3,.677,.217,.217,.153,.090,.323,.367,.463,.268,.379,.353,.311,.213,.789,.011,1,.246,.333,0,0,,goodwjo01
252,Marvin Bagley III,24,2TM,C,50,25,1053,.586,5.1,.944,.544,.292,.091,.017,.056,.597,.721,.454,.405,.143,.391,.665,1.000,.189,71,.304,.429,0,0,,baglema01
252,Marvin Bagley III,24,DET,C,26,10,478,.591,4.9,.967,.552,.276,.105,.033,.033,.606,.710,.540,.421,.000,.167,.660,1.000,.204,34,.167,.000,0,0,,baglema01
252,Marvin Bagley III,24,WAS,C,24,15,575,.581,5.2,.925,.537,.304,.079,.004,.075,.590,.730,.391,.389,1.000,.471,.669,1.000,.176,37,.353,.500,0,0,,baglema01
253,Torrey Craig,33,CHI,SF,53,14,1049,.430,16.8,.390,.219,.124,.020,.028,.610,.490,.582,.419,.200,.286,.392,.583,.967,.020,3,.451,.362,0,0,,craigto01
254,Jalen Smith,23,IND,C,61,14,1047,.592,11.7,.635,.410,.177,.015,.033,.365,.689,.765,.557,.833,.385,.424,.671,1.000,.129,49,.167,.417,1,0,,smithja04
255,Dalano Banton,24,2TM,PG,54,9,1047,.404,12.6,.602,.232,.268,.068,.034,.398,.475,.655,.396,.294,.235,.296,.336,.847,.034,17,.146,.345,0,0,,bantoda01
255,Dalano Banton,24,BOS,PG,24,1,171,.373,11.3,.686,.275,.353,.020,.039,.314,.486,.643,.444,.000,.000,.125,.412,1.000,.078,4,.313,.200,0,0,,bantoda01
255,Dalano Banton,24,POR,PG,30,8,876,.408,14.0,.592,.227,.258,.073,.033,.408,.474,.657,.388,.303,.267,.311,.325,.842,.029,13,.131,.375,0,0,,bantoda01
256,Ziaire Williams,22,MEM,SF,51,15,1038,.397,15.9,.500,.220,.127,.085,.069,.500,.487,.747,.250,.281,.346,.307,.641,.897,.095,32,.370,.357,2,0,,willizi02
257,Jae'Sean Tate,28,HOU,SF,65,9,1031,.472,10.8,.664,.336,.301,.009,.017,.336,.559,.610,.551,.000,.000,.299,.506,1.000,.026,4,.545,.333,0,0,,tateja01
258,Kenrich Williams,29,OKC,PF,69,1,1029,.468,15.4,.496,.296,.104,.039,.057,.504,.540,.699,.379,.182,.250,.397,.733,.964,.032,7,.312,.409,1,0,,willike04
259,Jose Alvarado,25,NOP,PG,56,0,1028,.412,17.7,.400,.136,.188,.067,.009,.600,.464,.617,.415,.304,.333,.377,.578,.885,.000,0,.280,.483,1,0,6MOY-6,alvarjo01
260,Quentin Grimes,23,2TM,SG,51,18,1025,.372,19.4,.268,.168,.049,.018,.034,.732,.466,.582,.375,.167,.182,.338,.732,.963,.021,4,.317,.355,0,0,,grimequ01
260,Quentin Grimes,23,NYK,SG,45,18,910,.395,19.6,.259,.171,.045,.010,.031,.741,.486,.592,.385,.000,.222,.363,.750,.961,.014,1,.325,.391,0,0,,grimequ01
260,Quentin Grimes,23,DET,SG,6,0,115,.214,19.2,.333,.143,.071,.071,.048,.667,.357,.500,.333,.333,.000,.143,.600,1.000,.071,3,.250,.000,0,0,,grimequ01
261,De'Anthony Melton,25,PHI,SG,38,33,1023,.386,17.6,.406,.181,.153,.031,.042,.594,.425,.538,.345,.273,.333,.360,.484,.792,.028,10,.178,.342,0,0,,meltode01
262,Daniel Theis,31,2TM,C,60,3,1015,.532,9.5,.758,.413,.232,.099,.014,.242,.586,.719,.426,.483,.000,.366,.792,1.000,.157,42,.239,.353,1,0,,theisda01
262,Daniel Theis,31,IND,C,1,0,8,.250,9.4,.750,.250,.500,.000,.000,.250,.333,1.000,.000,,,.000,1.000,,.250,1,.000,,0,0,,theisda01
262,Daniel Theis,31,LAC,C,59,3,1007,.536,9.5,.758,.415,.228,.100,.014,.242,.589,.717,.439,.483,.000,.371,.791,1.000,.156,41,.243,.353,1,0,,theisda01
263,Lonnie Walker IV,25,BRK,SG,58,0,1011,.423,17.7,.449,.163,.126,.063,.098,.551,.471,.663,.355,.387,.354,.384,.462,.712,.018,5,.229,.452,1,0,,walkelo01
264,Talen Horton-Tucker,23,UTA,PG,51,11,1009,.396,13.8,.609,.187,.312,.082,.028,.391,.438,.621,.407,.237,.154,.330,.242,.800,.037,12,.203,.351,2,0,,hortota01
265,Killian Hayes,22,DET,PG,42,31,1008,.413,14.7,.739,.060,.226,.343,.110,.261,.455,.706,.469,.423,.387,.297,.484,.864,.018,5,.284,.381,0,0,,hayeski01
266,Jevon Carter,28,CHI,PG,72,0,1004,.378,20.4,.359,.041,.088,.134,.096,.641,.466,.333,.438,.469,.543,.329,.689,.870,.000,0,.252,.390,1,0,,carteje01
267,Luke Kennard,27,MEM,SG,39,22,999,.448,21.8,.244,.060,.054,.079,.051,.756,.442,.684,.235,.440,.375,.450,.765,.944,.000,0,.118,.393,0,0,,kennalu01
268,Garrison Mathews,27,ATL,SG,66,5,992,.456,22.6,.146,.044,.031,.053,.018,.854,.545,.800,.000,.583,.750,.440,.722,.976,.000,0,.316,.459,0,0,,mathega01
269,Jaden Hardy,21,DAL,SG,73,7,989,.407,16.4,.532,.184,.134,.129,.086,.468,.447,.568,.344,.435,.366,.362,.404,.840,.023,9,.254,.351,4,0,,hardyja02
270,Tre Mann,22,2TM,PG,41,28,987,.459,15.1,.601,.237,.212,.104,.047,.399,.516,.667,.433,.424,.333,.373,.194,.766,.022,4,.198,.440,0,0,,manntr01
270,Tre Mann,22,OKC,PG,13,0,119,.500,16.2,.525,.250,.100,.075,.100,.475,.571,.600,.500,.333,.750,.421,.333,.750,.000,0,.158,.667,0,0,,manntr01
270,Tre Mann,22,CHO,PG,28,28,868,.453,14.1,.612,.236,.228,.109,.040,.388,.509,.677,.429,.433,.182,.364,.174,.769,.025,4,.206,.409,0,0,,manntr01
271,Cam Reddish,24,LAL,SF,48,26,984,.389,14.0,.530,.265,.188,.030,.047,.470,.435,.629,.295,.143,.091,.336,.722,1.000,.056,10,.573,.365,0,0,,reddica01
272,Luke Kornet,28,BOS,C,63,7,983,.700,2.1,.995,.773,.212,.010,.000,.005,.698,.790,.372,.500,,1.000,.709,1.000,.404,72,.000,,0,0,,kornelu01
273,Keon Ellis,24,SAC,SG,57,21,978,.461,20.5,.276,.103,.095,.034,.043,.724,.578,.667,.591,.625,.300,.417,.649,.943,.030,7,.298,.360,1,0,,elliske01
274,Xavier Tillman Sr.,25,2TM,PF,54,15,974,.434,11.2,.710,.337,.294,.061,.018,.290,.510,.617,.415,.412,.400,.247,.812,1.000,.065,16,.617,.180,0,0,,tillmxa01
274,Xavier Tillman Sr.,25,MEM,C,34,13,700,.408,9.4,.751,.380,.286,.066,.019,.249,.469,.568,.361,.429,.250,.226,.813,1.000,.070,13,.604,.156,0,0,,tillmxa01
274,Xavier Tillman Sr.,25,BOS,PF,20,2,274,.515,13.1,.576,.197,.318,.045,.015,.424,.684,.923,.571,.333,1.000,.286,.808,1.000,.045,3,.643,.222,0,0,,tillmxa01
275,Josh Okogie,25,PHO,SG,60,11,960,.417,12.7,.544,.350,.160,.029,.005,.456,.509,.569,.394,.500,.000,.309,.632,.966,.068,13,.638,.300,0,0,,okogijo01
276,Goga Bitadze,24,ORL,C,62,33,957,.603,3.8,.933,.689,.230,.005,.010,.067,.636,.715,.438,.000,.000,.143,.637,1.000,.273,51,.286,.000,0,0,,bitadgo01
277,Max Christie,20,LAL,SG,67,7,944,.427,16.3,.510,.166,.158,.124,.062,.490,.496,.600,.342,.533,.533,.356,.639,.976,.075,16,.415,.449,1,0,,chrisma02
278,Kevin Love,35,MIA,PF,55,5,924,.440,19.4,.320,.139,.142,.011,.028,.680,.643,.780,.569,.750,.300,.344,.622,.988,.003,0,.135,.273,1,0,,loveke01
279,Day'Ron Sharpe,22,BRK,C,61,1,921,.571,3.7,.949,.643,.289,.014,.003,.051,.588,.688,.400,.000,.000,.267,.616,1.000,.167,44,.267,.250,0,0,,sharpda01
280,Jonathan Isaac,26,ORL,PF,58,2,914,.510,12.6,.608,.395,.091,.056,.066,.392,.598,.717,.385,.375,.368,.375,.654,.976,.203,52,.491,.455,1,0,6MOY-9,isaacjo01
281,Markelle Fultz,25,ORL,PG,43,18,910,.472,7.4,.945,.353,.353,.187,.052,.055,.487,.626,.435,.361,.353,.222,.420,1.000,.043,11,.722,.231,1,0,,fultzma01
282,Doug McDermott,32,2TM,SF,64,0,904,.433,22.0,.194,.099,.042,.025,.028,.806,.527,.607,.333,.571,.500,.410,.931,.979,.021,6,.214,.408,0,0,,mcderdo01
282,Doug McDermott,32,SAS,SF,46,0,700,.442,21.8,.195,.116,.028,.023,.028,.805,.452,.560,.000,.400,.500,.439,.947,.974,.023,5,.208,.417,0,0,,mcderdo01
282,Doug McDermott,32,IND,SF,18,0,204,.406,22.3,.188,.043,.087,.029,.029,.812,.769,1.000,.667,1.000,.500,.321,.900,1.000,.014,1,.232,.385,0,0,,mcderdo01
283,Jaylin Williams,21,OKC,C,69,1,897,.417,17.9,.368,.180,.118,.053,.018,.632,.500,.610,.407,.333,.500,.368,.833,1.000,.026,5,.215,.355,0,0,,willija07
284,Nikola Jović,20,MIA,PF,46,38,896,.452,16.7,.420,.178,.196,.032,.014,.580,.525,.600,.509,.222,.500,.399,.694,.892,.007,2,.288,.468,0,0,,jovicni01
285,Bryce McGowens,21,CHO,SG,59,14,882,.439,13.9,.557,.300,.178,.030,.048,.443,.523,.580,.488,.571,.273,.333,.493,.971,.030,7,.382,.410,0,0,,mcgowbr01
286,Cam Whitmore,19,HOU,SF,47,2,880,.454,14.9,.529,.257,.206,.026,.041,.471,.538,.642,.448,.500,.368,.359,.579,.937,.107,40,.173,.342,2,0,,whitmca01
287,Jaxson Hayes,23,LAL,C,70,5,877,.720,4.0,.954,.680,.263,.000,.011,.046,.754,.857,.500,,.500,.000,.849,,.469,75,.125,.000,1,0,,hayesja02
288,Blake Wesley,20,SAS,SG,61,3,876,.474,9.8,.744,.433,.219,.070,.023,.256,.563,.624,.574,.267,.200,.218,.556,1.000,.116,22,.309,.412,2,0,,weslebl01
289,Malachi Flynn,25,3TM,PG,69,0,876,.418,17.2,.480,.163,.151,.098,.068,.520,.513,.623,.408,.469,.545,.331,.275,.714,.000,0,.148,.440,0,0,,flynnma01
289,Malachi Flynn,25,TOR,PG,31,0,474,.409,17.4,.416,.182,.139,.066,.029,.584,.491,.520,.474,.556,.250,.350,.429,.929,.000,0,.200,.438,0,0,,flynnma01
289,Malachi Flynn,25,NYK,PG,14,0,60,.391,17.6,.435,.217,.043,.043,.130,.565,.500,.800,.000,1.000,.000,.308,.400,.500,.000,0,.077,1.000,0,0,,flynnma01
289,Malachi Flynn,25,DET,PG,24,0,342,.430,16.5,.539,.139,.176,.133,.091,.461,.528,.696,.379,.409,.733,.316,.170,.500,.000,0,.105,.375,0,0,,flynnma01
290,Christian Wood,28,LAL,PF,50,1,872,.466,13.8,.568,.261,.223,.042,.042,.432,.587,.812,.424,.455,.182,.307,.761,.971,.102,24,.228,.346,0,0,,woodch01
291,Zach LaVine,28,CHI,SG,25,23,872,.452,15.7,.551,.237,.136,.053,.125,.449,.536,.640,.431,.500,.468,.349,.396,.525,.040,13,.183,.452,0,0,,lavinza01
292,Maxi Kleber,32,DAL,C,43,7,871,.432,18.0,.370,.178,.075,.082,.034,.630,.574,.769,.273,.583,.200,.348,.839,.969,.041,6,.348,.219,0,0,,klebima01
293,Justin Holiday,34,DEN,SG,58,9,862,.454,19.9,.299,.134,.031,.021,.113,.701,.569,.692,.333,.750,.455,.404,.788,.964,.057,10,.485,.500,0,0,,holidju01
294,Chimezie Metu,26,2TM,C,51,12,859,.504,12.7,.615,.311,.217,.061,.025,.385,.633,.803,.491,.400,.333,.298,.737,.929,.156,34,.319,.333,0,0,,metuch01
294,Chimezie Metu,26,PHO,C,37,5,448,.508,12.2,.608,.385,.162,.038,.023,.392,.646,.820,.333,.400,.333,.294,.824,1.000,.192,23,.294,.467,0,0,,metuch01
294,Chimezie Metu,26,DET,C,14,7,411,.500,13.2,.623,.228,.281,.088,.026,.377,.620,.769,.594,.400,.333,.302,.636,.846,.114,11,.349,.200,0,0,,metuch01
295,Trendon Watford,23,BRK,PF,63,2,856,.527,9.5,.781,.305,.392,.061,.023,.219,.564,.705,.492,.421,.286,.397,.431,.963,.023,7,.338,.304,0,0,,watfotr01
296,Taylor Hendricks,20,UTA,PF,40,23,856,.450,16.5,.417,.158,.196,.038,.025,.583,.550,.737,.447,.667,.000,.379,.545,1.000,.092,20,.514,.458,0,0,,hendrta01
297,Dwight Powell,32,DAL,C,63,9,836,.679,2.4,.972,.811,.160,.000,.000,.028,.689,.767,.294,,,.333,.620,1.000,.217,18,.667,.500,0,0,,poweldw01
298,Troy Brown Jr.,24,2TM,SF,59,15,827,.372,18.8,.376,.128,.142,.031,.075,.624,.435,.586,.250,.429,.529,.333,.459,.915,.018,3,.312,.295,2,0,,browntr01
298,Troy Brown Jr.,24,MIN,SF,37,3,410,.441,19.9,.288,.136,.076,.042,.034,.712,.618,.750,.333,.600,.750,.369,.476,.871,.000,0,.321,.370,1,0,,browntr01
298,Troy Brown Jr.,24,DET,SF,22,12,417,.296,17.6,.472,.120,.213,.019,.120,.528,.314,.385,.217,.000,.462,.281,.438,1.000,.037,3,.298,.176,1,0,,browntr01
299,Marcus Morris,34,2TM,PF,49,7,817,.439,18.5,.549,.072,.121,.178,.178,.451,.469,.684,.375,.511,.404,.403,.471,.938,.008,2,.294,.429,1,0,,morrima03
299,Marcus Morris,34,PHI,PF,37,7,637,.439,17.8,.561,.093,.122,.161,.185,.439,.470,.684,.320,.545,.395,.400,.444,.972,.010,2,.267,.375,0,0,,morrima03
299,Marcus Morris,34,CLE,PF,12,0,180,.441,19.3,.508,.000,.119,.237,.153,.492,.467,,.571,.429,.444,.414,.571,.833,.000,0,.379,.545,1,0,,morrima03
300,Caleb Houstan,21,ORL,SF,59,13,815,.388,23.9,.063,.019,.019,.015,.010,.937,.615,.500,.750,1.000,.000,.373,.500,.986,.000,0,.378,.397,0,0,,houstca01
301,Ben Sheppard,22,IND,SG,57,1,814,.393,18.1,.319,.162,.114,.035,.009,.681,.562,.676,.385,.500,1.000,.314,.659,.980,.026,5,.506,.380,0,0,,sheppbe01
302,Jake LaRavia,22,MEM,PF,35,6,806,.389,15.7,.485,.218,.218,.023,.026,.515,.442,.591,.303,.571,.250,.340,.569,.887,.026,8,.167,.462,1,0,,laravja01
303,Bismack Biyombo,31,2TM,C,40,27,791,.565,3.5,1.000,.489,.504,.008,.000,.000,.565,.719,.424,.000,,,.757,,.198,24,,,0,0,,biyombi01
303,Bismack Biyombo,31,MEM,C,30,27,718,.563,3.7,1.000,.487,.504,.008,.000,.000,.563,.724,.417,.000,,,.776,,.210,24,,,0,0,,biyombi01
303,Bismack Biyombo,31,OKC,C,10,0,73,.583,3.3,1.000,.500,.500,.000,.000,.000,.583,.667,.500,,,,.571,,.083,0,,,0,0,,biyombi01
304,JT Thor,21,CHO,PF,63,3,781,.437,13.6,.557,.344,.109,.060,.044,.443,.510,.651,.200,.364,.375,.346,.712,1.000,.104,16,.519,.333,0,0,,thorjt01
305,Isaiah Jackson,22,IND,C,59,3,771,.665,3.1,.983,.670,.270,.030,.013,.017,.677,.795,.397,.571,.667,.000,.755,,.352,72,.500,.000,0,0,,jacksis01
306,Mitchell Robinson,25,NYK,C,31,21,768,.575,1.0,1.000,.929,.071,.000,.000,.000,.575,.602,.222,,,,.479,,.409,45,,,0,0,,robinmi01
307,Jock Landale,28,HOU,C,56,3,763,.515,9.0,.806,.388,.262,.117,.039,.194,.578,.638,.519,.625,.250,.250,.750,1.000,.117,20,.100,.250,0,0,,landajo01
308,Cody Martin,28,CHO,SF,28,22,753,.381,14.8,.600,.223,.158,.098,.121,.400,.426,.667,.382,.381,.077,.314,.436,.704,.033,5,.360,.355,0,0,,martico01
309,KJ Martin,23,2TM,SF,60,2,746,.536,9.4,.845,.613,.227,.000,.006,.155,.582,.649,.415,,.000,.286,.787,1.000,.227,34,.536,.400,0,0,,martike04
309,KJ Martin,23,LAC,SF,2,0,31,.400,13.5,.500,.200,.300,.000,.000,.500,.600,1.000,.333,,,.200,1.000,1.000,.200,2,.600,.333,0,0,,martike04
309,KJ Martin,23,PHI,SF,58,2,715,.544,5.4,.865,.637,.222,.000,.006,.135,.581,.642,.421,,.000,.304,.779,1.000,.228,32,.522,.417,0,0,,martike04
310,Delon Wright,31,2TM,PG,47,1,742,.394,13.4,.638,.218,.314,.059,.048,.362,.408,.634,.322,.273,.111,.368,.429,.880,.005,1,.235,.250,1,0,,wrighde01
310,Delon Wright,31,WAS,PG,33,0,456,.393,12.7,.689,.197,.352,.074,.066,.311,.405,.625,.349,.333,.125,.368,.324,.786,.008,1,.158,.333,1,0,,wrighde01
310,Delon Wright,31,MIA,PG,14,1,286,.394,14.2,.545,.258,.242,.030,.015,.455,.417,.647,.250,.000,.000,.367,.667,1.000,.000,0,.333,.200,0,0,,wrighde01
311,Ish Smith,35,CHO,PG,43,5,741,.418,10.3,.949,.222,.278,.310,.139,.051,.413,.457,.477,.306,.455,.500,.387,.750,.000,0,.125,1.000,1,0,,smithis01
312,Mo Bamba,25,PHI,C,57,17,740,.490,10.6,.677,.475,.146,.020,.035,.323,.537,.617,.345,.750,.143,.391,.611,1.000,.187,33,.125,.125,0,0,,bambamo01
313,Nick Smith Jr.,19,CHO,SG,51,0,729,.391,18.5,.495,.090,.138,.138,.128,.505,.350,.385,.425,.400,.189,.432,.380,.841,.007,2,.233,.559,1,0,,smithni01
314,Landry Shamet,26,WAS,SG,46,5,726,.431,17.8,.427,.153,.135,.073,.066,.573,.556,.690,.405,.550,.556,.338,.738,.925,.044,8,.274,.419,0,0,,shamela01
315,Chris Duarte,26,SAC,SF,59,11,719,.381,18.3,.395,.152,.119,.067,.057,.605,.434,.656,.360,.429,.000,.346,.667,.886,.024,4,.346,.386,1,0,,duartch01
316,Jordan Nwora,25,2TM,SF,52,1,712,.462,14.3,.562,.268,.197,.060,.037,.438,.560,.663,.542,.389,.182,.336,.585,.841,.033,9,.298,.359,2,0,,nworajo01
316,Jordan Nwora,25,IND,SF,18,0,183,.451,14.0,.561,.317,.159,.049,.037,.439,.565,.654,.462,.500,.333,.306,.731,1.000,.049,4,.278,.300,0,0,,nworajo01
316,Jordan Nwora,25,TOR,SF,34,1,529,.465,14.5,.562,.249,.212,.065,.037,.438,.557,.667,.565,.357,.125,.347,.529,.788,.028,5,.305,.379,2,0,,nworajo01
317,LaMelo Ball,22,CHO,PG,22,22,711,.433,15.4,.534,.191,.265,.054,.024,.466,.500,.654,.455,.348,.100,.355,.159,.586,.002,0,.157,.484,0,0,,ballla01
318,Chris Boucher,31,TOR,PF,50,0,705,.507,12.4,.567,.373,.166,.009,.018,.433,.642,.765,.417,.500,.250,.330,.595,1.000,.092,18,.415,.256,0,0,,bouchch01
319,Jacob Gilyard,25,2TM,PG,41,14,699,.400,27.5,.160,.027,.040,.013,.080,.840,.375,.250,.500,.000,.417,.405,.111,.824,.000,0,.238,.500,2,0,,gilyaja01
319,Jacob Gilyard,25,MEM,PG,37,14,654,.417,23.5,.167,.028,.042,.014,.083,.833,.375,.250,.500,.000,.417,.425,.111,.824,.000,0,.250,.500,1,0,,gilyaja01
319,Jacob Gilyard,25,BRK,PG,4,0,45,.000,31.5,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.000,0,.000,,1,0,,gilyaja01
320,Bruno Fernando,25,ATL,C,45,2,682,.583,3.7,.979,.567,.369,.037,.005,.021,.596,.755,.391,.286,.000,.000,.817,,.219,38,.000,,0,0,,fernabr01
