,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,Heaves,Heaves,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
46,Derrick White,29,BOS,SG,73,73,2381,.461,18.0,.410,.114,.192,.080,.024,.590,.555,.771,.509,.373,.500,.396,.419,.801,.015,13,.202,.420,0,0,DPOY-8,whitede01
47,Tobias Harris,31,PHI,PF,70,70,2368,.487,11.9,.729,.268,.251,.140,.069,.271,.537,.686,.431,.511,.394,.353,.444,.956,.043,39,.260,.403,0,0,,harrito02
48,Donte DiVincenzo,27,NYK,SG,81,63,2360,.443,19.2,.298,.178,.081,.027,.012,.702,.542,.603,.407,.556,.500,.401,.636,.919,.025,20,.251,.446,3,1,,divindo01
49,Jordan Poole,24,WAS,SG,78,66,2346,.413,17.1,.524,.156,.180,.116,.073,.476,.492,.714,.394,.387,.425,.326,.408,.668,.008,9,.108,.344,4,0,,poolejo01
50,Jaylen Brown,27,BOS,SF,70,70,2343,.499,13.0,.674,.247,.237,.119,.070,.326,.570,.723,.487,.520,.398,.354,.429,.634,.075,76,.205,.381,0,0,AS,brownja02
51,Malik Beasley,27,MIL,SG,79,77,2337,.443,20.7,.249,.073,.100,.040,.036,.751,.533,.736,.472,.414,.423,.413,.688,.951,.008,5,.399,.472,0,0,,beaslma01
52,Franz Wagner,22,ORL,SF,72,72,2337,.482,11.3,.695,.315,.320,.039,.022,.305,.570,.716,.459,.442,.292,.281,.419,.787,.060,65,.120,.225,4,0,,wagnefr01
53,Kawhi Leonard,32,LAC,SF,68,68,2330,.525,13.9,.711,.168,.200,.246,.097,.289,.569,.790,.539,.500,.425,.417,.451,.657,.072,76,.193,.446,0,0,ASNBA2,leonaka01
54,Herbert Jones,25,NOP,SF,76,76,2321,.498,13.8,.536,.311,.162,.022,.041,.464,.568,.705,.389,.231,.417,.418,.609,.965,.070,39,.527,.479,1,0,DPOY-5,joneshe01
55,Aaron Gordon,28,DEN,PF,73,73,2297,.556,7.4,.807,.554,.183,.053,.017,.193,.619,.738,.382,.263,.417,.290,.642,.850,.256,171,.391,.352,1,0,,gordoaa01
